"","Nome d'arte","Nome","Sesso","Attivit‡","Paesi.di.prima.pubblicazione","Mercati","Editori","Insegna.presso","ISBN"
"267",NA,"Braghieri, Corinna","F","Autrice Unica, Disegni","IT","GN","Kleiner Flug","",""
"268",NA,"Braglia, Elisa","F","Colori","IT","P","The Walt Disney Company","",""
"269",NA,"Brancati, Valentina","F","Disegni","FR","GN","…ditions Paquet","Scuola internazionale di Comics - Roma",""
"270",NA,"Brancato, Sergio","M","Sceneggiatura","IT","P","Sergio Bonelli Editore","Scuola italiana di Comix (Napoli)",""
"271",NA,"Brandi, Jacopo","M","Disegni","IT","P","Astorina","",""
"272",NA,"Brandi, Luca","M","Autore Unico","IT","GN","Hollow Press","",""
"273",NA,"Brignola, Cristiano","M","Sceneggiatura","IT","GN","Noise Press","",""
"274",NA,"Brindisi, Bruno","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"275",NA,"Brisly, Diala","F","Disegni","IT","GN","Round Robin","",""
"276",NA,"Broccardo, Andrea","M","Chine, Disegni","IT, USA","P","Marvel Comics, Panini Comics, Sergio Bonelli Editore","",""
"277",NA,"Brolli, Daniele","M","Sceneggiatura","IT","P, GN","Oblomov Edizioni, Sergio Bonelli Editore, Star Comics","",""
"278",NA,"Brualdi, Guido","M","Autore Unico","IT","GN","MalEdizioni","",""
"279",NA,"Brucini, Fabio","M","Disegni","IT","GN","BeccoGiallo","",""
"280",NA,"Bruni, Eleonora","F","Disegni","IT, USA","P","DC Comics, Marvel Comics, Panini Comics","",""
"281",NA,"Bruno, Andrea","M","Autore Unico","IT","GN","Canicola Edizioni, Coconino Press","Accademia di Belle Arti di Bologna (Corso fumetto e illustrazione)",""
"282",NA,"Bruno, Pietrantonio","M","Disegni","IT","P","Bugs Comics, Sergio Bonelli Editore","",""
"283",NA,"Bruno, Toni","M","Autore Unico","IT","P, GN","Bao Publishing, Sergio Bonelli Editore","IED - Istituto Europeo di Disegni (Roma)",""
"284",NA,"Brusco, Giulia","F","Colori","IT","P","Sergio Bonelli Editore","",""
"285",NA,"Bruttomesso, Michele","M","Autore Unico, Disegni","IT","GN","Edizioni Zanetti, Il Battello a Vapore","",""
"286",NA,"Bruzzo, Giovanni","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"287",NA,"Bucci, Marco B.","M","Disegni","IT, FR, USA","P ","…ditions Soleil, Image Comics, Panini Comics","",""
"288",NA,"Buffa, Alessandro","M","Disegni","IT","GN","Edizioni NPE","",""
"289",NA,"Buffagni, Cesare","M","Disegni","IT","P, GN","Kleiner Flug, Sergio Bonelli Editore","",""
"290",NA,"Buffagni, Matteo","M","Disegni","IT","P","Astorina","",""
"291",NA,"Buffolo, Alessia","F","Disegni","FR","GN","…ditions Clair de Lune, Kennes","",""
"292",NA,"Bufi, Ennio","M","Disegni","IT","P, GN","Bao Publishing, ReNoir Comics, Sergio Bonelli Editore","",""
"293",NA,"BuganÈ, Lucrezia","F","Disegni","IT","GN","Lavieri Edizioni","",""
"294",NA,"Bugi˘, Alberto","M","Colori","IT, USA","P","Editoriale Cosmo, Sergio Bonelli Editore, Titan Comics","Scuola internazionale di Comics - Reggio Emilia",""
"295",NA,"Bulgheroni, Luca","M","Colori","IT, FR","P, GN","Astorina, …ditions Glenat","",""
